parameter,hierarchy,value,scale
predation.accessibility.redMulletstage0.prey.sp0.stage0,gs,0,logit
predation.accessibility.redMulletstage0.prey.sp0.stage1,gs,0.4,logit
predation.accessibility.redMulletstage0.prey.sp1.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp1.stage1,gs,0,logit
predation.accessibility.redMulletstage0.prey.sp2.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp2.stage1,gs,0.4,logit
predation.accessibility.redMulletstage0.prey.sp3.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp3.stage1,gs,0.4,logit
predation.accessibility.redMulletstage0.prey.sp4.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp4.stage1,gs,0.4,logit
predation.accessibility.redMulletstage0.prey.sp5.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp5.stage1,gs,0.4,logit
predation.accessibility.redMulletstage0.prey.sp6.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp6.stage1,gs,0,logit
predation.accessibility.redMulletstage0.prey.sp7.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp7.stage1,gs,0,logit
predation.accessibility.redMulletstage0.prey.sp8.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.redMulletstage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.redMulletstage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.redMulletstage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.redMulletstage0.prey.sp15.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp0.stage0,gs,0.05,logit
predation.accessibility.redMulletstage1.prey.sp0.stage1,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp1.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp1.stage1,gs,0.8,logit
predation.accessibility.redMulletstage1.prey.sp2.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp2.stage1,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp3.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp3.stage1,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp4.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp4.stage1,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp5.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp5.stage1,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp6.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp6.stage1,gs,0.8,logit
predation.accessibility.redMulletstage1.prey.sp7.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp7.stage1,gs,0.8,logit
predation.accessibility.redMulletstage1.prey.sp8.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp8.stage1,gs,0.8,logit
predation.accessibility.redMulletstage1.prey.sp9.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp10.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp11.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp11.stage1,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp12.stage0,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp12.stage1,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp13.stage0,gs,0.05,logit
predation.accessibility.redMulletstage1.prey.sp13.stage1,gs,0,logit
predation.accessibility.redMulletstage1.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.redMulletstage1.prey.sp15.stage0,gs,0.8,logit
